12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_6584        	 SII_6717,31    
6.9000000 	 -0.2500000 	 -0.5000000 	 0.0891000 	 0.0267000 	 0.0000000 	 0.0107000 	 0.1714000 	 0.2928000
6.9000000 	 0.0000000 	 -0.5000000 	 0.0891000 	 0.0266000 	 0.0000000 	 0.0107000 	 0.3041000 	 0.2899000
6.9000000 	 -0.1250000 	 -0.5000000 	 0.0891000 	 0.0266000 	 0.0000000 	 0.0107000 	 0.2283000 	 0.2917000
6.9000000 	 -0.3750000 	 -0.5000000 	 0.0891000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.1287000 	 0.2936000
6.9000000 	 -0.5000000 	 -0.5000000 	 0.0891000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0965000 	 0.2943000
6.9000000 	 -0.6250000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0724000 	 0.2946000
6.9000000 	 -0.7500000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0544000 	 0.2951000
6.9000000 	 -0.8750000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0408000 	 0.2955000
6.9000000 	 -1.0000000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0306000 	 0.2955000
6.9000000 	 -1.1250000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0230000 	 0.2955000
6.9000000 	 -1.2500000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0172000 	 0.2957000
6.9000000 	 -1.3750000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0129000 	 0.2957000
6.9000000 	 -1.5000000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0097000 	 0.2958000
6.9000000 	 -1.6250000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0073000 	 0.2958000
6.9000000 	 -1.7500000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0054000 	 0.2958000
6.9000000 	 -1.8750000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0041000 	 0.2958000
6.9000000 	 -2.0000000 	 -0.5000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000 	 0.0031000 	 0.2958000
6.9000000 	 -0.2500000 	 -0.7500000 	 0.0863000 	 0.0287000 	 0.0000000 	 0.0128000 	 0.1708000 	 0.2570000
6.9000000 	 0.0000000 	 -0.7500000 	 0.0865000 	 0.0286000 	 0.0000000 	 0.0129000 	 0.3031000 	 0.2536000
6.9000000 	 -0.1250000 	 -0.7500000 	 0.0864000 	 0.0286000 	 0.0000000 	 0.0129000 	 0.2276000 	 0.2555000
6.9000000 	 -0.3750000 	 -0.7500000 	 0.0863000 	 0.0287000 	 0.0000000 	 0.0128000 	 0.1282000 	 0.2579000
6.9000000 	 -0.5000000 	 -0.7500000 	 0.0865000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0964000 	 0.2564000
6.9000000 	 -0.6250000 	 -0.7500000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0724000 	 0.2568000
6.9000000 	 -0.7500000 	 -0.7500000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0543000 	 0.2572000
6.9000000 	 -0.8750000 	 -0.7500000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0128000 	 0.0407000 	 0.2575000
